eid	filename	class_mark	sort_class_mark
122877	MS-DAR-00003-000-00134.jpg	DAR 3: 246v	DAR 00003: 00246V
122289	MS-DAR-00003-000-00135.jpg	DAR 3: 247r	DAR 00003: 00247R
122878	MS-DAR-00003-000-00136.jpg	DAR 3: 247v	DAR 00003: 00247V
122290	MS-DAR-00003-000-00137.jpg	DAR 3: 248ar	DAR 00003: 00248AR
122880	MS-DAR-00003-000-00138.jpg	DAR 3: 248av	DAR 00003: 00248AV
122291	MS-DAR-00003-000-00139.jpg	DAR 3: 248r	DAR 00003: 00248R
122879	MS-DAR-00003-000-00140.jpg	DAR 3: 248v	DAR 00003: 00248V
122292	MS-DAR-00003-000-00141.jpg	DAR 3: 249ar	DAR 00003: 00249AR
122882	MS-DAR-00003-000-00142.jpg	DAR 3: 249av	DAR 00003: 00249AV
122293	MS-DAR-00003-000-00143.jpg	DAR 3: 249r	DAR 00003: 00249R
122881	MS-DAR-00003-000-00144.jpg	DAR 3: 249v	DAR 00003: 00249V
122294	MS-DAR-00003-000-00145.jpg	DAR 3: 250r	DAR 00003: 00250R
122883	MS-DAR-00003-000-00146.jpg	DAR 3: 250v	DAR 00003: 00250V
122295	MS-DAR-00003-000-00147.jpg	DAR 3: 251r	DAR 00003: 00251R
122884	MS-DAR-00003-000-00148.jpg	DAR 3: 251v	DAR 00003: 00251V
122296	MS-DAR-00003-000-00149.jpg	DAR 3: 252r	DAR 00003: 00252R
122885	MS-DAR-00003-000-00150.jpg	DAR 3: 252v	DAR 00003: 00252V
122297	MS-DAR-00003-000-00151.jpg	DAR 3: 253a[1]r	DAR 00003: 00253A 00001 R
122886	MS-DAR-00003-000-00152.jpg	DAR 3: 253a[1]v	DAR 00003: 00253A 00001 V
122298	MS-DAR-00003-000-00153.jpg	DAR 3: 253r	DAR 00003: 00253A 00001.5 R
122887	MS-DAR-00003-000-00154.jpg	DAR 3: 253v	DAR 00003: 00253A 00001.5 V
122299	MS-DAR-00003-000-00155.jpg	DAR 3: 253a[2]r	DAR 00003: 00253A 00002 R
122888	MS-DAR-00003-000-00156.jpg	DAR 3: 253a[2]v	DAR 00003: 00253A 00002 V
122300	MS-DAR-00003-000-00157.jpg	DAR 3: 254ar	DAR 00003: 00254AR
122890	MS-DAR-00003-000-00158.jpg	DAR 3: 254av	DAR 00003: 00254AV
122301	MS-DAR-00003-000-00159.jpg	DAR 3: 254r	DAR 00003: 00254R
